Year,District,Crop,Season,Area_Hectares,Production_Tonnes,Productivity_Tonnes_per_Hectare,Sowing_Period,Harvest_Period,Weather_Impact_Factor,Category
2018,Thiruvananthapuram,Rice,Mundakan,4954.48,14944.34,3.016,September-October,December-January,0.935,Food Crop
2018,Thiruvananthapuram,Rice,Puncha,2025.25,6075.36,3.0,December-January,March-April,0.947,Food Crop
2018,Malappuram,Coconut,Whole Year,98188.74,636692129.74,6484.37,Year-round,Year-round,0.83,Plantation
2018,Kozhikode,Coconut,Whole Year,103888.33,685253369.57,6596.057,Year-round,Year-round,0.911,Plantation
2018,Kannur,Coconut,Whole Year,80822.89,461036610.91,5704.282,Year-round,Year-round,0.934,Plantation
2018,Thrissur,Coconut,Whole Year,66329.45,400222043.32,6033.852,Year-round,Year-round,0.898,Plantation
2018,Thiruvananthapuram,Coconut,Whole Year,55190.79,340647090.39,6172.172,Year-round,Year-round,0.84,Plantation
2018,Ernakulam,Coconut,Whole Year,54550.18,340039401.4,6233.516,Year-round,Year-round,0.85,Plantation
2018,Kollam,Coconut,Whole Year,47055.83,286617406.93,6091.008,Year-round,Year-round,0.822,Plantation
2018,Wayanad,Pepper,Whole Year,12332.95,3541.49,0.287,June-July,December-February,0.753,Spice
2018,Idukki,Pepper,Whole Year,16097.28,5527.9,0.343,June-July,December-February,0.942,Spice
2018,Kottayam,Pepper,Whole Year,9081.09,2222.22,0.245,June-July,December-February,0.767,Spice
2018,Pathanamthitta,Pepper,Whole Year,8691.07,2677.09,0.308,June-July,December-February,0.869,Spice
2018,Kozhikode,Pepper,Whole Year,6340.26,1754.09,0.277,June-July,December-February,0.792,Spice
2018,Palakkad,Pepper,Whole Year,4701.67,1313.03,0.279,June-July,December-February,0.788,Spice
2018,Idukki,Cardamom,Whole Year,73232.17,10880.93,0.149,May-June,October-December,0.863,Spice
2018,Wayanad,Cardamom,Whole Year,7170.76,851.68,0.119,May-June,October-December,0.838,Spice
2018,Palakkad,Cardamom,Whole Year,1659.42,194.6,0.117,May-June,October-December,0.781,Spice
2018,Wayanad,Ginger,Whole Year,3334.92,38354.77,11.501,April-May,December-January,0.939,Spice
2018,Kozhikode,Ginger,Whole Year,2450.86,25247.44,10.301,April-May,December-January,0.879,Spice
2018,Palakkad,Ginger,Whole Year,2147.86,20857.95,9.711,April-May,December-January,0.781,Spice
2018,Malappuram,Ginger,Whole Year,1976.9,20566.3,10.403,April-May,December-January,0.755,Spice
2018,Idukki,Ginger,Whole Year,1706.46,17765.27,10.411,April-May,December-January,0.884,Spice
2018,Kannur,Ginger,Whole Year,1543.42,17653.31,11.438,April-May,December-January,0.881,Spice
2018,Palakkad,Turmeric,Whole Year,1961.58,13071.78,6.664,April-May,January-February,0.799,Spice
2018,Malappuram,Turmeric,Whole Year,1897.22,15297.45,8.063,April-May,January-February,0.916,Spice
2018,Kozhikode,Turmeric,Whole Year,1541.0,9526.13,6.182,April-May,January-February,0.791,Spice
2018,Ernakulam,Turmeric,Whole Year,1162.38,7251.71,6.239,April-May,January-February,0.753,Spice
2018,Wayanad,Turmeric,Whole Year,1021.21,9197.84,9.007,April-May,January-February,0.929,Spice
2018,Kottayam,Rubber,Whole Year,81997.28,128286.64,1.565,Year-round tapping,Year-round tapping,0.802,Plantation
2018,Pathanamthitta,Rubber,Whole Year,81365.7,101189.07,1.244,Year-round tapping,Year-round tapping,0.804,Plantation
2018,Ernakulam,Rubber,Whole Year,68452.6,120897.85,1.766,Year-round tapping,Year-round tapping,0.86,Plantation
2018,Kollam,Rubber,Whole Year,64297.85,104015.07,1.618,Year-round tapping,Year-round tapping,0.94,Plantation
2018,Thiruvananthapuram,Rubber,Whole Year,58404.23,100206.38,1.716,Year-round tapping,Year-round tapping,0.924,Plantation
2018,Thrissur,Rubber,Whole Year,42938.44,70156.74,1.634,Year-round tapping,Year-round tapping,0.91,Plantation
2018,Thrissur,Banana,Whole Year,6312.98,176779.9,28.003,"April-May, Sep-Oct",Year-round,0.804,Food Crop
2018,Ernakulam,Banana,Whole Year,6215.7,183761.2,29.564,"April-May, Sep-Oct",Year-round,0.802,Food Crop
2018,Thiruvananthapuram,Banana,Whole Year,5729.82,187095.94,32.653,"April-May, Sep-Oct",Year-round,0.947,Food Crop
2018,Kollam,Banana,Whole Year,4139.5,117492.4,28.383,"April-May, Sep-Oct",Year-round,0.804,Food Crop
2018,Palakkad,Banana,Whole Year,4063.46,105502.26,25.964,"April-May, Sep-Oct",Year-round,0.805,Food Crop
2018,Alappuzha,Banana,Whole Year,4535.09,153733.16,33.899,"April-May, Sep-Oct",Year-round,0.916,Food Crop
2019,Alappuzha,Rice,Virippu,25295.89,96919.19,3.831,April-May,September-October,1.11,Food Crop
2019,Alappuzha,Rice,Mundakan,17075.44,64916.11,3.802,September-October,December-January,1.141,Food Crop
2019,Alappuzha,Rice,Puncha,6753.17,21374.49,3.165,December-January,March-April,1.102,Food Crop
2019,Thrissur,Rice,Virippu,19092.41,68913.05,3.609,April-May,September-October,1.11,Food Crop
2019,Thrissur,Rice,Mundakan,12812.05,39254.54,3.064,September-October,December-January,1.079,Food Crop
2019,Thrissur,Rice,Puncha,6048.65,19420.99,3.211,December-January,March-April,1.08,Food Crop
2019,Palakkad,Rice,Virippu,15950.6,68981.29,4.325,April-May,September-October,1.116,Food Crop
2019,Palakkad,Rice,Mundakan,11304.31,39315.16,3.478,September-October,December-January,1.071,Food Crop
2019,Palakkad,Rice,Puncha,4805.94,17076.39,3.553,December-January,March-April,1.1,Food Crop
2019,Ernakulam,Rice,Virippu,12898.46,50194.51,3.892,April-May,September-October,1.127,Food Crop
2019,Ernakulam,Rice,Mundakan,9772.73,39945.89,4.087,September-October,December-January,1.119,Food Crop
2019,Ernakulam,Rice,Puncha,3914.01,13722.9,3.506,December-January,March-April,1.132,Food Crop
2019,Kottayam,Rice,Virippu,11112.76,41287.08,3.715,April-May,September-October,1.077,Food Crop
2019,Kottayam,Rice,Mundakan,6760.6,25011.07,3.7,September-October,December-January,1.059,Food Crop
2019,Kottayam,Rice,Puncha,3193.61,11461.93,3.589,December-January,March-April,1.069,Food Crop
2019,Kollam,Rice,Virippu,10647.09,38635.13,3.629,April-May,September-October,1.123,Food Crop
2019,Kollam,Rice,Mundakan,7248.49,28205.31,3.891,September-October,December-January,1.119,Food Crop
2019,Kollam,Rice,Puncha,2899.83,10713.94,3.695,December-January,March-April,1.099,Food Crop
2019,Thiruvananthapuram,Rice,Virippu,8182.5,28430.68,3.475,April-May,September-October,1.068,Food Crop
2019,Thiruvananthapuram,Rice,Mundakan,5756.65,19612.65,3.407,September-October,December-January,1.053,Food Crop
2019,Thiruvananthapuram,Rice,Puncha,2431.55,9638.21,3.964,December-January,March-April,1.142,Food Crop
2019,Malappuram,Coconut,Whole Year,125842.38,1063830610.1,8453.675,Year-round,Year-round,1.134,Plantation
2019,Kozhikode,Coconut,Whole Year,126860.44,961158356.32,7576.502,Year-round,Year-round,1.054,Plantation
2019,Kannur,Coconut,Whole Year,81957.41,678992635.05,8284.701,Year-round,Year-round,1.062,Plantation
2019,Thrissur,Coconut,Whole Year,86586.13,676976431.48,7818.532,Year-round,Year-round,1.084,Plantation
2019,Thiruvananthapuram,Coconut,Whole Year,75786.37,621377090.4,8199.062,Year-round,Year-round,1.082,Plantation
2019,Ernakulam,Coconut,Whole Year,75409.6,621499777.33,8241.653,Year-round,Year-round,1.082,Plantation
2019,Kollam,Coconut,Whole Year,63789.89,543851274.93,8525.666,Year-round,Year-round,1.112,Plantation
2019,Wayanad,Pepper,Whole Year,17229.2,7485.98,0.434,June-July,December-February,1.144,Spice
2019,Idukki,Pepper,Whole Year,20823.62,7511.19,0.361,June-July,December-February,1.09,Spice
2019,Kottayam,Pepper,Whole Year,15217.23,5881.82,0.387,June-July,December-February,1.137,Spice
2019,Pathanamthitta,Pepper,Whole Year,10292.6,3478.7,0.338,June-July,December-February,1.124,Spice
2019,Kozhikode,Pepper,Whole Year,8501.26,3156.92,0.371,June-July,December-February,1.085,Spice
2019,Palakkad,Pepper,Whole Year,6116.19,2104.53,0.344,June-July,December-February,1.073,Spice
2019,Idukki,Cardamom,Whole Year,92356.33,18433.29,0.2,May-June,October-December,1.088,Spice
2019,Wayanad,Cardamom,Whole Year,8669.65,1884.39,0.217,May-June,October-December,1.145,Spice
2019,Palakkad,Cardamom,Whole Year,2401.6,486.27,0.202,May-June,October-December,1.144,Spice
2019,Wayanad,Ginger,Whole Year,4164.62,52580.94,12.626,April-May,December-January,1.067,Spice
2019,Kozhikode,Ginger,Whole Year,3360.05,48491.21,14.432,April-May,December-January,1.111,Spice
2019,Palakkad,Ginger,Whole Year,2754.76,36981.67,13.425,April-May,December-January,1.068,Spice
2019,Malappuram,Ginger,Whole Year,2732.04,36808.52,13.473,April-May,December-January,1.128,Spice
2019,Idukki,Ginger,Whole Year,2236.94,31638.27,14.144,April-May,December-January,1.147,Spice
2019,Kannur,Ginger,Whole Year,2158.42,28827.89,13.356,April-May,December-January,1.12,Spice
2019,Palakkad,Turmeric,Whole Year,2727.17,24111.41,8.841,April-May,January-February,1.072,Spice
2019,Malappuram,Turmeric,Whole Year,2241.1,18568.94,8.286,April-May,January-February,1.109,Spice
2019,Kozhikode,Turmeric,Whole Year,1961.92,19223.39,9.798,April-May,January-February,1.138,Spice
2019,Ernakulam,Turmeric,Whole Year,1655.97,15533.31,9.38,April-May,January-February,1.139,Spice
2019,Wayanad,Turmeric,Whole Year,1362.14,13904.06,10.208,April-May,January-February,1.105,Spice
2019,Kottayam,Rubber,Whole Year,113153.19,207307.63,1.832,Year-round tapping,Year-round tapping,1.087,Plantation
2019,Pathanamthitta,Rubber,Whole Year,109078.51,199474.69,1.829,Year-round tapping,Year-round tapping,1.1,Plantation
2019,Ernakulam,Rubber,Whole Year,93988.17,195476.31,2.08,Year-round tapping,Year-round tapping,1.135,Plantation
2019,Kollam,Rubber,Whole Year,68714.1,127645.52,1.858,Year-round tapping,Year-round tapping,1.109,Plantation
2019,Thiruvananthapuram,Rubber,Whole Year,70879.04,154524.44,2.18,Year-round tapping,Year-round tapping,1.118,Plantation
2019,Thrissur,Rubber,Whole Year,47006.67,99839.48,2.124,Year-round tapping,Year-round tapping,1.138,Plantation
2019,Thrissur,Banana,Whole Year,9348.64,404334.85,43.251,"April-May, Sep-Oct",Year-round,1.135,Food Crop
2019,Ernakulam,Banana,Whole Year,8096.86,339656.97,41.949,"April-May, Sep-Oct",Year-round,1.134,Food Crop
2019,Thiruvananthapuram,Banana,Whole Year,7026.97,299035.34,42.555,"April-May, Sep-Oct",Year-round,1.112,Food Crop
2019,Kollam,Banana,Whole Year,6056.3,250515.34,41.364,"April-May, Sep-Oct",Year-round,1.138,Food Crop
2019,Palakkad,Banana,Whole Year,5372.29,206124.17,38.368,"April-May, Sep-Oct",Year-round,1.084,Food Crop
2019,Alappuzha,Banana,Whole Year,4917.49,202509.22,41.181,"April-May, Sep-Oct",Year-round,1.132,Food Crop
2020,Alappuzha,Rice,Virippu,16928.03,44858.74,2.65,April-May,September-October,0.751,Food Crop
2020,Alappuzha,Rice,Mundakan,15512.59,41374.78,2.667,September-October,December-January,0.946,Food Crop
2020,Alappuzha,Rice,Puncha,5516.0,16400.54,2.973,December-January,March-April,0.877,Food Crop
2020,Thrissur,Rice,Virippu,14508.61,36426.1,2.511,April-May,September-October,0.771,Food Crop
2020,Thrissur,Rice,Mundakan,11690.81,39713.24,3.397,September-October,December-January,0.943,Food Crop
2020,Thrissur,Rice,Puncha,5213.31,13820.18,2.651,December-January,March-April,0.936,Food Crop
2020,Palakkad,Rice,Virippu,11881.62,31282.79,2.633,April-May,September-October,0.81,Food Crop
2020,Palakkad,Rice,Mundakan,8932.46,25112.04,2.811,September-October,December-January,0.866,Food Crop
2020,Palakkad,Rice,Puncha,3620.29,7723.01,2.133,December-January,March-April,0.759,Food Crop
2020,Ernakulam,Rice,Virippu,9609.67,22237.93,2.314,April-May,September-October,0.755,Food Crop
2020,Ernakulam,Rice,Mundakan,8365.55,23610.81,2.822,September-October,December-January,0.887,Food Crop
2020,Ernakulam,Rice,Puncha,3257.54,9575.08,2.939,December-January,March-April,0.949,Food Crop
2020,Kottayam,Rice,Virippu,7260.55,14986.7,2.064,April-May,September-October,0.783,Food Crop
2020,Kottayam,Rice,Mundakan,5739.37,15737.44,2.742,September-October,December-January,0.794,Food Crop
2020,Kottayam,Rice,Puncha,2674.92,7200.04,2.692,December-January,March-April,0.881,Food Crop
2020,Kollam,Rice,Virippu,8354.56,22793.61,2.728,April-May,September-October,0.939,Food Crop
2020,Kollam,Rice,Mundakan,5708.49,13855.77,2.427,September-October,December-January,0.83,Food Crop
2020,Kollam,Rice,Puncha,2245.66,5625.56,2.505,December-January,March-April,0.796,Food Crop
2020,Thiruvananthapuram,Rice,Virippu,6488.41,21374.67,3.294,April-May,September-October,0.923,Food Crop
2020,Thiruvananthapuram,Rice,Mundakan,4236.75,10646.55,2.513,September-October,December-January,0.787,Food Crop
2020,Thiruvananthapuram,Rice,Puncha,2069.28,6206.0,2.999,December-January,March-April,0.904,Food Crop
2020,Malappuram,Coconut,Whole Year,94014.02,647132730.6,6883.364,Year-round,Year-round,0.875,Plantation
2020,Kozhikode,Coconut,Whole Year,105597.87,761004516.58,7206.627,Year-round,Year-round,0.909,Plantation
2020,Kannur,Coconut,Whole Year,61012.88,353242375.99,5789.636,Year-round,Year-round,0.775,Plantation
2020,Thrissur,Coconut,Whole Year,60307.33,408856320.5,6779.546,Year-round,Year-round,0.79,Plantation
2020,Thiruvananthapuram,Coconut,Whole Year,59235.42,384469193.1,6490.529,Year-round,Year-round,0.866,Plantation
2020,Ernakulam,Coconut,Whole Year,55003.36,317509995.26,5772.556,Year-round,Year-round,0.812,Plantation
2020,Kollam,Coconut,Whole Year,41464.78,237262480.93,5722.025,Year-round,Year-round,0.764,Plantation
2020,Wayanad,Pepper,Whole Year,12754.93,3130.77,0.245,June-July,December-February,0.87,Spice
2020,Idukki,Pepper,Whole Year,17445.78,5137.34,0.294,June-July,December-February,0.922,Spice
2020,Kottayam,Pepper,Whole Year,9117.68,2538.15,0.278,June-July,December-February,0.798,Spice
2020,Pathanamthitta,Pepper,Whole Year,9974.42,3103.13,0.311,June-July,December-February,0.89,Spice
2020,Kozhikode,Pepper,Whole Year,6450.28,1844.56,0.286,June-July,December-February,0.815,Spice
2020,Palakkad,Pepper,Whole Year,4705.14,1354.65,0.288,June-July,December-February,0.82,Spice
2020,Idukki,Cardamom,Whole Year,69722.34,10593.34,0.152,May-June,October-December,0.864,Spice
2020,Wayanad,Cardamom,Whole Year,6632.74,990.24,0.149,May-June,October-December,0.79,Spice
2020,Palakkad,Cardamom,Whole Year,1618.47,236.63,0.146,May-June,October-December,0.756,Spice
2020,Wayanad,Ginger,Whole Year,3527.74,41920.86,11.883,April-May,December-January,0.924,Spice
2020,Kozhikode,Ginger,Whole Year,2563.5,27539.96,10.743,April-May,December-January,0.818,Spice
2020,Palakkad,Ginger,Whole Year,2572.33,31604.11,12.286,April-May,December-January,0.913,Spice
2020,Malappuram,Ginger,Whole Year,2360.07,23840.36,10.102,April-May,December-January,0.855,Spice
2020,Idukki,Ginger,Whole Year,1495.98,14483.73,9.682,April-May,December-January,0.762,Spice
2020,Kannur,Ginger,Whole Year,1609.65,17878.66,11.107,April-May,December-January,0.924,Spice
2020,Palakkad,Turmeric,Whole Year,2152.77,15910.5,7.391,April-May,January-February,0.908,Spice
2020,Malappuram,Turmeric,Whole Year,1720.05,14746.8,8.573,April-May,January-February,0.861,Spice
2020,Kozhikode,Turmeric,Whole Year,1628.95,13935.75,8.555,April-May,January-February,0.949,Spice
2020,Ernakulam,Turmeric,Whole Year,1187.11,8047.09,6.779,April-May,January-February,0.79,Spice
2020,Wayanad,Turmeric,Whole Year,884.57,5781.47,6.536,April-May,January-February,0.756,Spice
2020,Kottayam,Rubber,Whole Year,95735.66,137921.19,1.441,Year-round tapping,Year-round tapping,0.924,Plantation
2020,Pathanamthitta,Rubber,Whole Year,83034.84,133534.86,1.608,Year-round tapping,Year-round tapping,0.835,Plantation
2020,Ernakulam,Rubber,Whole Year,75603.88,113840.41,1.506,Year-round tapping,Year-round tapping,0.948,Plantation
2020,Kollam,Rubber,Whole Year,61886.75,115672.0,1.869,Year-round tapping,Year-round tapping,0.895,Plantation
2020,Thiruvananthapuram,Rubber,Whole Year,63719.93,106354.6,1.669,Year-round tapping,Year-round tapping,0.93,Plantation
2020,Thrissur,Rubber,Whole Year,35890.27,53534.5,1.492,Year-round tapping,Year-round tapping,0.868,Plantation
2020,Thrissur,Banana,Whole Year,7702.54,268407.12,34.847,"April-May, Sep-Oct",Year-round,0.897,Food Crop
2020,Ernakulam,Banana,Whole Year,6653.63,205094.31,30.824,"April-May, Sep-Oct",Year-round,0.932,Food Crop
2020,Thiruvananthapuram,Banana,Whole Year,5509.78,172312.94,31.274,"April-May, Sep-Oct",Year-round,0.944,Food Crop
2020,Kollam,Banana,Whole Year,4742.06,137536.04,29.003,"April-May, Sep-Oct",Year-round,0.848,Food Crop
2020,Palakkad,Banana,Whole Year,4309.33,122800.61,28.496,"April-May, Sep-Oct",Year-round,0.839,Food Crop
2020,Alappuzha,Banana,Whole Year,3471.98,107536.37,30.973,"April-May, Sep-Oct",Year-round,0.869,Food Crop
2021,Alappuzha,Rice,Virippu,22092.25,64362.79,2.913,April-May,September-October,1.0,Food Crop
2021,Alappuzha,Rice,Mundakan,14730.44,51514.87,3.497,September-October,December-January,1.0,Food Crop
2021,Alappuzha,Rice,Puncha,6592.15,21679.64,3.289,December-January,March-April,1.0,Food Crop
2021,Thrissur,Rice,Virippu,17458.94,58000.75,3.322,April-May,September-October,1.0,Food Crop
2021,Thrissur,Rice,Mundakan,12297.05,35311.65,2.872,September-October,December-January,1.0,Food Crop
2021,Thrissur,Rice,Puncha,5511.52,16940.2,3.074,December-January,March-April,1.0,Food Crop
2021,Palakkad,Rice,Virippu,13832.56,42748.19,3.09,April-May,September-October,1.0,Food Crop
2021,Palakkad,Rice,Mundakan,11287.9,38578.16,3.418,September-October,December-January,1.0,Food Crop
2021,Palakkad,Rice,Puncha,4421.55,13753.64,3.111,December-January,March-April,1.0,Food Crop
2021,Ernakulam,Rice,Virippu,12298.98,45895.45,3.732,April-May,September-October,1.0,Food Crop
2021,Ernakulam,Rice,Mundakan,8917.1,29516.4,3.31,September-October,December-January,1.0,Food Crop
2021,Ernakulam,Rice,Puncha,3943.18,12859.22,3.261,December-January,March-April,1.0,Food Crop
2021,Kottayam,Rice,Virippu,9870.48,31089.39,3.15,April-May,September-October,1.0,Food Crop
2021,Kottayam,Rice,Mundakan,6974.94,22253.34,3.19,September-October,December-January,1.0,Food Crop
2021,Kottayam,Rice,Puncha,3109.14,9990.61,3.213,December-January,March-April,1.0,Food Crop
2021,Kollam,Rice,Virippu,9329.69,29662.22,3.179,April-May,September-October,1.0,Food Crop
2021,Kollam,Rice,Mundakan,6324.77,17003.9,2.688,September-October,December-January,1.0,Food Crop
2021,Kollam,Rice,Puncha,2823.7,9286.32,3.289,December-January,March-April,1.0,Food Crop
2021,Thiruvananthapuram,Rice,Virippu,7874.25,19359.31,2.459,April-May,September-October,1.0,Food Crop
2021,Thiruvananthapuram,Rice,Mundakan,5798.2,18347.04,3.164,September-October,December-January,1.0,Food Crop
2021,Thiruvananthapuram,Rice,Puncha,2374.67,6966.77,2.934,December-January,March-April,1.0,Food Crop
2021,Malappuram,Coconut,Whole Year,108217.06,743229449.49,6867.951,Year-round,Year-round,1.0,Plantation
2021,Kozhikode,Coconut,Whole Year,111413.33,963549125.94,8648.419,Year-round,Year-round,1.0,Plantation
2021,Kannur,Coconut,Whole Year,82208.67,627289930.41,7630.46,Year-round,Year-round,1.0,Plantation
2021,Thrissur,Coconut,Whole Year,82436.77,642793204.06,7797.409,Year-round,Year-round,1.0,Plantation
2021,Thiruvananthapuram,Coconut,Whole Year,71533.99,552169172.74,7718.977,Year-round,Year-round,1.0,Plantation
2021,Ernakulam,Coconut,Whole Year,72811.1,543566082.07,7465.429,Year-round,Year-round,1.0,Plantation
2021,Kollam,Coconut,Whole Year,55553.02,451667884.14,8130.393,Year-round,Year-round,1.0,Plantation
2021,Wayanad,Pepper,Whole Year,15829.14,6066.31,0.383,June-July,December-February,1.0,Spice
2021,Idukki,Pepper,Whole Year,18574.86,5906.73,0.318,June-July,December-February,1.0,Spice
2021,Kottayam,Pepper,Whole Year,12980.06,4126.39,0.318,June-July,December-February,1.0,Spice
2021,Pathanamthitta,Pepper,Whole Year,10151.32,3338.57,0.329,June-July,December-February,1.0,Spice
2021,Kozhikode,Pepper,Whole Year,7974.34,2864.43,0.359,June-July,December-February,1.0,Spice
2021,Palakkad,Pepper,Whole Year,6096.41,2205.76,0.362,June-July,December-February,1.0,Spice
2021,Idukki,Cardamom,Whole Year,91858.27,17134.41,0.187,May-June,October-December,1.0,Spice
2021,Wayanad,Cardamom,Whole Year,7902.34,1532.13,0.194,May-June,October-December,1.0,Spice
2021,Palakkad,Cardamom,Whole Year,2118.95,343.95,0.162,May-June,October-December,1.0,Spice
2021,Wayanad,Ginger,Whole Year,3604.55,47584.22,13.201,April-May,December-January,1.0,Spice
2021,Kozhikode,Ginger,Whole Year,2955.37,41007.78,13.876,April-May,December-January,1.0,Spice
2021,Palakkad,Ginger,Whole Year,2778.99,35086.38,12.626,April-May,December-January,1.0,Spice
2021,Malappuram,Ginger,Whole Year,2478.37,31018.19,12.516,April-May,December-January,1.0,Spice
2021,Idukki,Ginger,Whole Year,1890.37,20907.42,11.06,April-May,December-January,1.0,Spice
2021,Kannur,Ginger,Whole Year,1943.51,22647.74,11.653,April-May,December-January,1.0,Spice
2021,Palakkad,Turmeric,Whole Year,2376.08,16717.35,7.036,April-May,January-February,1.0,Spice
2021,Malappuram,Turmeric,Whole Year,1936.1,14714.97,7.6,April-May,January-February,1.0,Spice
2021,Kozhikode,Turmeric,Whole Year,1947.78,17893.64,9.187,April-May,January-February,1.0,Spice
2021,Ernakulam,Turmeric,Whole Year,1448.39,14529.74,10.032,April-May,January-February,1.0,Spice
2021,Wayanad,Turmeric,Whole Year,1258.91,10422.63,8.279,April-May,January-February,1.0,Spice
2021,Kottayam,Rubber,Whole Year,91878.12,195690.82,2.13,Year-round tapping,Year-round tapping,1.0,Plantation
2021,Pathanamthitta,Rubber,Whole Year,88399.53,138174.0,1.563,Year-round tapping,Year-round tapping,1.0,Plantation
2021,Ernakulam,Rubber,Whole Year,89345.92,192212.06,2.151,Year-round tapping,Year-round tapping,1.0,Plantation
2021,Kollam,Rubber,Whole Year,80191.02,150855.59,1.881,Year-round tapping,Year-round tapping,1.0,Plantation
2021,Thiruvananthapuram,Rubber,Whole Year,66932.95,128704.83,1.923,Year-round tapping,Year-round tapping,1.0,Plantation
2021,Thrissur,Rubber,Whole Year,46707.59,85964.92,1.84,Year-round tapping,Year-round tapping,1.0,Plantation
2021,Thrissur,Banana,Whole Year,8041.68,280049.42,34.825,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2021,Ernakulam,Banana,Whole Year,6736.11,230470.09,34.214,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2021,Thiruvananthapuram,Banana,Whole Year,5492.11,190711.69,34.725,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2021,Kollam,Banana,Whole Year,5228.14,166829.6,31.91,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2021,Palakkad,Banana,Whole Year,5044.97,196237.39,38.898,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2021,Alappuzha,Banana,Whole Year,4706.62,144034.84,30.603,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2022,Alappuzha,Rice,Virippu,23340.45,87647.45,3.755,April-May,September-October,1.091,Food Crop
2022,Alappuzha,Rice,Mundakan,17492.04,61788.55,3.532,September-October,December-January,1.118,Food Crop
2022,Alappuzha,Rice,Puncha,7605.97,24370.24,3.204,December-January,March-April,1.121,Food Crop
2022,Thrissur,Rice,Virippu,18975.02,60416.81,3.184,April-May,September-October,1.076,Food Crop
2022,Thrissur,Rice,Mundakan,13836.24,52270.92,3.778,September-October,December-January,1.131,Food Crop
2022,Thrissur,Rice,Puncha,5675.71,20323.34,3.581,December-January,March-April,1.113,Food Crop
2022,Palakkad,Rice,Virippu,17082.61,64564.95,3.78,April-May,September-October,1.132,Food Crop
2022,Palakkad,Rice,Mundakan,11087.96,39227.8,3.538,September-October,December-January,1.071,Food Crop
2022,Palakkad,Rice,Puncha,4745.07,19628.72,4.137,December-January,March-April,1.134,Food Crop
2022,Ernakulam,Rice,Virippu,13236.33,48211.02,3.642,April-May,September-October,1.074,Food Crop
2022,Ernakulam,Rice,Mundakan,9551.41,37084.69,3.883,September-October,December-January,1.132,Food Crop
2022,Ernakulam,Rice,Puncha,4334.81,13723.7,3.166,December-January,March-April,1.06,Food Crop
2022,Kottayam,Rice,Virippu,10623.55,44157.26,4.157,April-May,September-October,1.109,Food Crop
2022,Kottayam,Rice,Mundakan,8162.5,27934.66,3.422,September-October,December-January,1.136,Food Crop
2022,Kottayam,Rice,Puncha,3127.84,10423.82,3.333,December-January,March-April,1.052,Food Crop
2022,Kollam,Rice,Virippu,10550.77,42140.12,3.994,April-May,September-October,1.105,Food Crop
2022,Kollam,Rice,Mundakan,6794.69,21479.26,3.161,September-October,December-January,1.109,Food Crop
2022,Kollam,Rice,Puncha,2916.98,9926.76,3.403,December-January,March-April,1.064,Food Crop
2022,Thiruvananthapuram,Rice,Virippu,7866.8,31117.8,3.956,April-May,September-October,1.093,Food Crop
2022,Thiruvananthapuram,Rice,Mundakan,6327.43,25322.3,4.002,September-October,December-January,1.149,Food Crop
2022,Thiruvananthapuram,Rice,Puncha,2493.15,9715.5,3.897,December-January,March-April,1.077,Food Crop
2022,Malappuram,Coconut,Whole Year,107704.26,826951001.17,7677.979,Year-round,Year-round,1.085,Plantation
2022,Kozhikode,Coconut,Whole Year,121734.65,905401776.27,7437.503,Year-round,Year-round,1.057,Plantation
2022,Kannur,Coconut,Whole Year,88783.17,776373242.68,8744.599,Year-round,Year-round,1.104,Plantation
2022,Thrissur,Coconut,Whole Year,88602.35,782048251.91,8826.496,Year-round,Year-round,1.103,Plantation
2022,Thiruvananthapuram,Coconut,Whole Year,74653.79,563672151.77,7550.483,Year-round,Year-round,1.117,Plantation
2022,Ernakulam,Coconut,Whole Year,77234.37,656459851.53,8499.582,Year-round,Year-round,1.097,Plantation
2022,Kollam,Coconut,Whole Year,63320.79,514490124.86,8125.138,Year-round,Year-round,1.146,Plantation
2022,Wayanad,Pepper,Whole Year,16483.79,5719.0,0.347,June-July,December-February,1.07,Spice
2022,Idukki,Pepper,Whole Year,18808.94,7255.64,0.386,June-July,December-February,1.095,Spice
2022,Kottayam,Pepper,Whole Year,12905.17,5541.66,0.429,June-July,December-February,1.116,Spice
2022,Pathanamthitta,Pepper,Whole Year,10368.04,3430.41,0.331,June-July,December-February,1.065,Spice
2022,Kozhikode,Pepper,Whole Year,9351.55,3648.1,0.39,June-July,December-February,1.102,Spice
2022,Palakkad,Pepper,Whole Year,6500.2,2606.81,0.401,June-July,December-February,1.126,Spice
2022,Idukki,Cardamom,Whole Year,96537.55,19365.38,0.201,May-June,October-December,1.128,Spice
2022,Wayanad,Cardamom,Whole Year,8223.04,1493.04,0.182,May-June,October-December,1.086,Spice
2022,Palakkad,Cardamom,Whole Year,1979.31,404.01,0.204,May-June,October-December,1.09,Spice
2022,Wayanad,Ginger,Whole Year,4271.06,53487.45,12.523,April-May,December-January,1.102,Spice
2022,Kozhikode,Ginger,Whole Year,3446.6,52832.27,15.329,April-May,December-January,1.149,Spice
